top - 23:41:26 up  2:23,  1 user,  load average: 0.30, 0.25, 0.36
Tasks: 269 total,   1 running, 268 sleeping,   0 stopped,   0 zombie
%Cpu0  :  0.0 us, 11.8 sy,  0.0 ni, 88.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    797.0 total,     52.8 free,    497.6 used,    246.7 buff/cache
MiB Swap:   2048.0 total,   1239.0 free,    809.0 used.    161.5 avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
114153 root      20   0   64032   4764   3948 R   6.2   0.6   0:00.02 top
     1 root      20   0  245232   2772   1108 S   0.0   0.3   0:02.96 systemd
     2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
     3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
     4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
     6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
     8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     9 root      20   0       0      0      0 S   0.0   0.0   0:00.54 ksoftirqd/0
    10 root      20   0       0      0      0 I   0.0   0.0   0:00.91 rcu_sched
    11 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/0
    12 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdog/0
    13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
    15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
    16 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
    17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
    19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
    20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
    21 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kcompactd0
    22 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    23 root      39  19       0      0      0 S   0.0   0.0   0:00.31 khugepaged
    24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
    25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
    26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    30 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    42 root      20   0       0      0      0 S   0.0   0.0   1:04.95 kswapd0
    93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    94 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-pciehp
    95 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-pciehp
    96 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-pciehp
    97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-pciehp
    98 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-pciehp
    99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-pciehp
   100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-pciehp
   101 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-pciehp
   102 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-pciehp
   103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-pciehp
   104 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-pciehp
   105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-pciehp
   106 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-pciehp
   107 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-pciehp
   108 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-pciehp
   109 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-pciehp
   110 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-pciehp
   111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-pciehp
   112 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-pciehp
   113 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-pciehp
   114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-pciehp
   115 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-pciehp
   116 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-pciehp
   117 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-pciehp
   118 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-pciehp
   119 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-pciehp
   120 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-pciehp
   121 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-pciehp
   122 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-pciehp
   123 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-pciehp
   124 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-pciehp
   125 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-pciehp
   126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
   127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_rdacd
   128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kaluad
   129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
   130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
   400 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
   401 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
   402 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
   405 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
   406 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
   407 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
   416 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
   424 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
   458 root       0 -20       0      0      0 I   0.0   0.0   0:00.12 kworker/0:1H-kblockd
   468 root     -51   0       0      0      0 S   0.0   0.0   0:00.03 irq/16-vmwgfx
   470 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
   512 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
   521 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
   549 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfsalloc
   552 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs_mru_cache
   553 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-buf/dm-0
   556 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-data/dm-0
   557 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-conv/dm-0
   558 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-cil/dm-0
